loan_amnt,term_months,interest_rate,annual_inc,dti,open_acc,pub_rec,revol_util,inq_last_6m,delinq_2yrs,emp_length_years,home_ownership,default
16524.0,36,7.82,41833.0,29.9,2,1,30.72,0,0,7,MORTGAGE,1
9800.0,36,9.0,81134.0,12.42,7,0,29.87,2,0,7,RENT,1
18752.0,36,12.05,146540.0,21.35,4,0,49.68,2,0,23,RENT,1
19703.0,36,13.13,73815.0,17.1,3,0,34.47,1,0,3,RENT,0
5245.0,36,9.5,56205.0,22.5,1,0,43.45,0,0,17,RENT,1
8489.0,36,12.31,63035.0,13.16,1,1,91.81,1,0,15,RENT,1
15639.0,36,14.43,25929.0,26.42,2,1,21.05,1,0,6,MORTGAGE,1
13419.0,60,19.85,113469.0,29.03,5,0,53.42,0,0,19,RENT,0
14916.0,60,11.5,79386.0,25.93,1,0,16.61,1,0,10,RENT,1
10735.0,36,11.83,38533.0,19.26,8,0,68.18,0,0,15,RENT,1
19397.0,36,18.11,39510.0,14.52,8,0,72.97,0,0,6,MORTGAGE,1
18889.0,36,9.8,70458.0,40.58,5,0,23.31,2,0,10,RENT,1
15330.0,36,6.7,97960.0,10.07,4,0,27.6,1,0,22,MORTGAGE,0
20636.0,60,13.0,35470.0,25.05,4,0,61.67,3,0,13,OTHER,1
17338.0,36,16.3,103402.0,20.66,1,1,38.14,1,0,18,OWN,0
10704.0,36,13.44,67251.0,17.5,5,0,80.43,0,0,25,RENT,1
16844.0,36,11.61,42093.0,19.48,5,2,14.95,0,0,20,OWN,1
10206.0,36,6.21,55969.0,13.92,5,0,71.93,2,0,29,OWN,0
19392.0,60,11.77,122457.0,21.42,3,0,100.94,1,0,9,RENT,0
14750.0,36,16.93,28354.0,20.53,4,0,54.8,0,0,10,OTHER,1
14076.0,36,7.06,48043.0,39.42,4,1,29.08,0,0,7,OTHER,1
11595.0,36,11.02,98578.0,26.57,1,0,25.57,0,0,19,MORTGAGE,1
21113.0,60,10.45,76494.0,22.13,4,1,40.95,2,0,23,MORTGAGE,0
14227.0,36,9.21,46263.0,22.6,5,0,61.9,1,0,25,OTHER,1
12858.0,60,12.99,98944.0,32.72,5,0,7.66,2,0,10,RENT,0
13239.0,60,13.77,100369.0,10.24,2,0,37.26,1,0,19,MORTGAGE,0
17662.0,36,13.73,79942.0,16.54,7,0,48.29,0,0,7,OWN,1
16827.0,60,8.09,51628.0,2.74,6,0,83.85,0,0,27,MORTGAGE,1
17064.0,36,5.42,56251.0,22.47,11,0,91.54,0,0,2,RENT,0
17154.0,36,13.05,78540.0,24.79,6,1,41.71,0,1,20,RENT,0
25708.0,36,9.98,30642.0,10.04,4,0,17.29,0,0,9,OTHER,1
12968.0,36,19.35,109834.0,29.48,3,0,48.5,1,0,7,MORTGAGE,1
12439.0,36,19.54,121006.0,12.25,8,1,49.4,0,0,0,MORTGAGE,0
10931.0,36,19.96,62921.0,15.26,5,1,74.65,0,0,18,RENT,1
18080.0,36,8.24,80683.0,18.96,7,0,33.91,0,0,7,MORTGAGE,0
20645.0,36,14.28,105574.0,30.75,3,0,20.27,0,0,17,RENT,0
14430.0,36,15.48,128667.0,11.13,6,0,44.71,0,0,9,OTHER,0
10799.0,36,15.03,116709.0,20.33,8,1,36.5,1,0,10,MORTGAGE,0
10878.0,36,10.58,17934.0,24.2,7,0,35.83,1,0,5,MORTGAGE,0
18253.0,60,17.12,60533.0,22.55,3,0,23.29,1,0,2,OTHER,0
18716.0,60,12.0,85021.0,22.84,9,0,13.61,0,0,27,MORTGAGE,1
17716.0,36,12.51,55173.0,24.09,6,0,60.26,0,0,25,MORTGAGE,0
11672.0,36,5.85,123483.0,13.56,4,0,51.6,1,0,20,MORTGAGE,0
16161.0,36,14.58,118881.0,31.5,4,0,24.91,0,1,24,OWN,0
15583.0,36,10.96,45522.0,17.11,6,1,65.5,1,0,27,OWN,0
16093.0,36,13.86,65128.0,16.05,6,0,0.0,0,0,0,MORTGAGE,1
19357.0,36,12.94,47513.0,28.78,6,0,34.8,3,0,11,RENT,0
16118.0,36,12.72,64146.0,12.96,4,1,50.38,0,0,22,MORTGAGE,1
18395.0,36,11.82,63237.0,20.56,2,0,72.7,0,1,1,RENT,0
15338.0,36,15.15,98628.0,12.22,2,0,31.11,4,0,20,RENT,0
16446.0,36,11.2,43346.0,38.15,6,0,73.1,0,0,19,RENT,1
18156.0,60,6.18,5000.0,36.47,5,0,28.71,0,0,11,OWN,1
7714.0,36,14.28,21864.0,17.12,4,1,65.54,0,0,26,RENT,1
13402.0,36,8.76,39151.0,22.16,5,0,87.05,2,0,24,MORTGAGE,1
12648.0,36,6.7,50329.0,18.04,5,0,20.0,0,0,21,OTHER,1
11806.0,36,7.91,75615.0,15.21,7,0,48.79,0,0,25,RENT,0
13624.0,36,13.13,37606.0,18.96,5,0,58.52,1,0,3,OWN,1
22475.0,36,11.61,33667.0,17.68,8,0,13.89,2,0,26,RENT,1
10671.0,36,5.0,42117.0,5.83,10,1,55.81,0,0,18,RENT,1
19841.0,36,10.47,36530.0,20.1,2,1,30.84,0,1,2,RENT,1
6586.0,36,16.68,53365.0,17.66,4,0,23.93,0,1,17,OWN,1
13326.0,36,10.19,52081.0,20.5,5,1,34.42,0,0,11,MORTGAGE,1
15814.0,36,11.34,90672.0,17.38,4,1,32.6,0,0,18,OWN,1
17931.0,36,16.17,40314.0,15.12,9,0,65.02,0,0,0,RENT,1
18556.0,60,15.18,59272.0,25.0,8,0,44.98,0,0,0,RENT,0
18967.0,36,16.09,53649.0,22.27,6,0,102.77,0,0,22,MORTGAGE,1
13256.0,36,5.0,94267.0,29.17,2,0,31.6,0,0,25,RENT,0
12688.0,60,18.93,65372.0,21.96,2,0,56.85,0,0,13,MORTGAGE,0
19290.0,36,14.55,101521.0,16.42,5,1,41.23,1,0,11,OTHER,0
14043.0,36,21.85,35429.0,22.93,7,1,13.1,0,0,23,MORTGAGE,1
8622.0,36,8.87,68519.0,2.16,5,1,84.76,2,0,9,MORTGAGE,0
9334.0,36,5.0,52723.0,34.83,6,0,47.99,1,0,24,RENT,0
10403.0,36,12.03,33219.0,20.2,5,0,25.48,1,0,17,MORTGAGE,1
